Gene number,Chromosome,Gene name,Flowering pathway,Protein function,Phenotypic information,Key references,Additional comments
AT5G15840,5,CO (CONSTANS),Photoperiod,Zinc finger transcription factor,mutant late flowering in LDs,"Wenkel et al., 2006 Plant Cell; Yoo et al., 2005 Plant Physiology; Valverde et al., 2004 Science; An et al., 2004 Development; Samach et al., 2000 Science; Simon et al., 1996 Nature",
AT5G16320,5,FRL1 (FRIGIDA LIKE 1),,,,"Michaels et al., 2004 PNAS",
AT5G17690,5,TFL2 (TERMINAL FLOWER 2) also called LHP1 (LIKE HETEROCHROMATIN 1),"Photoperiod, vernalization and flower development",CHROMO-domain protein,mutant early flowering in LDs and SDs,"Gaudin et al., 2001 Development; Kotake et al., 2003 Plant Cell Physiology; Sung et al., 2006 Nat Gen; Turck et al., 2007 PLoS Gen; Zhang et al., 2007 Nat Struct Mol Biol; Takada and Goto, 2003 Plant Cell","Mutants show increased FT transcript levels, and cannot maintain the vernalized state so that FLC expression rises after vernalization. TFL2 binds to chromatin containing H3 trimethylated at lysine 27. "
AT5G23150,5,"HUA2 (HUA is the full name, means flower in Chinese)",,Involved in mRNA processing,mutant early flowering; originally identified as an enhancer of a weak agamous allele,"Chen and Meyerowitz, 1999 Mol Cell; Doyle et al., 2005 Plant Journal",Required for accumulation of the mRNA of FLC and other floral repressors. Allelic variation at HUA2 is found in commonly used accessions.
AT5G24470  ,5,PRR5 (PSEUDO-RESPONSE REGULATOR 5),"Photoperiod, circadian clock",unknown,"mutant late flowering in LD, overexpressor early flowering","Kiba et al, 2008, Plant Cell; Nakamichi et al., 2005, Plant Cell Phys; Nakamichi et al, 2007, Plant Cell Phys",
AT5G24860,5,FPF1 (FLOWERING PROMOTING FACTOR 1),-,Unknown,,"Kania et al., 1997 Plant Cell; Melzer et al., 1999 Plant Journal",
AT5G26147,5,miR156f (micro RNA 156f),Vegetative to reproductive transition,,Overexpression delays flowering,Wu and Poethig 2006 Development,
AT5G27320  ,5,GID1C (GA INSENSITIVE DWARF1C),Gibberellin,soluble nuclear localized GA receptor,triple gid mutants are late flowering in LDs,"Griffiths et al., 2006 Plant Cell",
AT5G35840 ,5,PHYC (PHYTOCHROME C),"photoperiod, circadian clock",red/far red light photoreceptor,mutant early flowering in SDs,"Franklin  et al., 2003 Plant Cell; Monte et al., 2003 Plant Cell",
AT5G37055,5,SEF (SERRATED LEAVES AND EARLY FLOWERING),,"A homologue of the yeast SWC6 protein, a conserved subunit of the SWR1/SRCAP complex.",mutant early flowering,"Lazaro et al., 2008 J Exp Bot; March-Diaz et al., 2007 Plant Physiology",
AT5G37260,5,CIR1 (CIRCADIAN 1),"photoperiod, circadian clock",MYB transcription factor,"mutant slightly early flowering, overexpressor late flowering","Zhang et al., 2007 Plant Journal",
AT5G39660,5,CDF2 (CYCLING DOF FACTOR 2),Photoperiod,DOF transcription factor,cdf1 cdf2 cdf3 cdf5 quadruple mutants flower early in LDs and SDs,"Fornara et al., 2009 Developmental Cell; Imaizumi et al., 2005 Science",
AT5G46210,5,CUL4 (CULLIN 4),Light signaling,Component of ubiquitin ligases,cul4 mutant is early flowering in SDs but not LDs,"Chen et al., 2010 Plant Cell",
AT5G47640,5,"NFYB2/HAP3B (NUCLEAR FACTOR Y, SUBUNIT B2/HEME ACTIVATED PROTEIN 3B)",Photoperiod,CCAAT-box binding transcription factor,mutant late flowering in LDs but not in SDs; nf-yb2 nf-yb3 double mutant is later than single nf-yb2; overexpression causes early flowering in LDs and SDs,"Cai et al., 2007 Plant Physiology; Kumimoto et al., 2008 Planta",
AT5G51230,5,EMF2 (EMBRYONIC FLOWER 2),,Homologue of Drosophila protein suppressor of zeste 12 and of Arabidopsis protein VRN2,"Mutants are extremely early flowering, flowering as seedlings","Yoshida et al., 2001 Plant Cell",
AT5G51810 ,5,GA20ox2 (GIBBERELLIN 20-OXIDASE 2),Gibberellin,"gibberellin 20-oxidase activity, GA biosynthesis","slightly late flowering in SD and LD, ga20ox1 ga20ox2 double mutant late flowering in SD and LD","Rieu et al., 2004 Plant J",
