Gene number,Chromosome,Gene name,Flowering pathway,Protein function,Phenotypic information,Key references,Additional comments
AT2G33835,2,FES (FRIGIDA ESSENTIAL 1),,A CCCH zinc finger protein,mutant early flowering in winter annual accessions,"Schmitz et al., 2005 Development","Required for FRI to upregulate FLC, but not required in autonomous pathway mutants"
AT2G34555 ,2,GA2ox3 (GIBBERELLIN 2-OXIDASE 3),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT2G34720,2,"NFYA4 (NUCLEAR FACTOR Y, SUBUNIT A4)",Photoperiod,CCAAT-box binding transcription factor,mutant shows no flowering-time phenotype; plants overexpressing the gene in phloem companion cells are late flowering in LDs,"Wenkel et al., 2006 Plant Cell",
AT2G38880,2,NFYB1/HAP3A (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-1/HEME ACTIVATED PROTEIN 3A),Photoperiod,CCAAT-box binding transcription factor,overexpression causes late flowering in LDs,"Wenkel et al., 2006 Plant Cell",
AT2G39250,2,SNZ (SCHNARCHZAPFEN),Photoperiod,AP2-domain transcription factor,smz snz toe1 toe2 quadruple mutants are early flowering in LDs,"Mathieu et al., 2009 PLoS Biology",
AT2G40080  ,2,ELF4 (EARLY FLOWERING 4),"photoperiod, circadian clock",unknown,mutant early flowering,"Doyle et al., 2002, Nature; Kikis et al., 2005, Plant J; McWatters et al., 2007, Plant Phys",
AT2G42200,2,SPL9 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 9),Vegetative and reproductive phase change,SBP transcription factor,spl9 spl15 double mutants reduce plastochron length and delay flowering,"Schwarz et al., 2008 Plant Molecular Biology; Wang et al., 2008 Plant Cell; Wu et al., 2009 Cell; Wang et al., 2009 Cell",
AT2G43410,2,FPA,Autonomous,RNA-binding protein,mutant late flowering,"Baurle et al., 2007 Science; Schomburg et al., 2001 Plant Cell",mutants show increased FLC expression
AT2G44950,2,HUB1 (HISTONE MONOUBIQUITINATION 1),,E3 enzyme involved in monoubiquitination of histone 2B,mutant early flowering,"Gu et al., 2009 Plant Journal; Xu et al., 2009 Plant Journal",
AT2G45640,2,SAP18 (SIN3-ASSOCIATED POLYPEPTIDE 18),,Histone deacetylase complex subunit,svp sap18 double mutants show aberrant floral morphology,"Liu et al., 2009 Developmental Cell",
AT2G45660,2,SOC1 (SUPPRESSOR OF OVEREXPRESSION OF CONSTANS),Floral integrator,MADS-box transcription factor,mutant late flowering in LDs and SDs,"Liu et al., 2007 Development; Onouchi et al., 2000 Plant Cell",
AT2G46255,2,miR159c (micro RNA 159c),Gibberellin,,,,
AT2G46340,2,SPA1 (SUPPRESSOR OF PHYA-105),Photoperiod,WD-40 and protein kinase-like domain,mutant early flowering in SDs,"Ishikawa et al., 2006 Plant Journal; Laubinger et al., 2006 Development; Saijo et al., 2008 Molecular Cell; ",
AT2G46790,2,PRR9 (PSEUDO-RESPONSE REGULATOR 9),"photoperiod, circadian clock",unknown,overexpressor early flowering,"Farré et al., 2005, Curr Biol; Nakamichi et al., 2005, Plant Cell Physiol; Nakamichi et al., 2007, Plant Cell Physiol",
AT2G46830,2,CCA1 (CIRCADIAN CLOCK ASSOCIATED 1),"photoperiod, circadian clock",Myb transcription factor,"mutant early flowering in short days, lhy cca1 double mutant not responsive to photoperiod","Alabadi et al., 2001, Science; Wang and Tobin., 1998, Cell; Green and Tobin, 1999, PNAS",Redundancy with LHY
AT2G47700,2,RFI2 (RED AND FAR-RED INSENSITIVE 2),Photoperiod,RING-domain zinc finger transcription factor,mutant early flowering in LDs and SDs,"Chen and Ni, 2006 Plant Journal",
AT3G04610,3,FLK (FLOWERING LATE KH MOTIF),Autonomous,RNA binding protein,mutant late flowering,"Lim et al., 2004 Plant Cell; Mockler et al., 2004 PNAS",mutants show increased FLC expression
AT3G04910,3,WNK1 ((WITH NO LYSINE (K) 1)),"photoperiod, circadian clock",,,"Murakami-Kojima et al., 2002, Plant Cell Physiol",
AT3G05120 ,3,GID1A (GA INSENSITIVE DWARF1A),Gibberellin,soluble nuclear localized GA receptor,triple gid mutants are late flowering in LD,"Griffiths et al., 2006 Plant Cell",
AT3G10390,3,FLD (FLOWERING LOCUS D),Autonomous,Hisone deacetylation associated protein,mutant late flowering,"He et al., 2003 Science",mutants show increased FLC expression
AT3G11435,3,miR172c (micro RNA 172c),Photoperiod,,,,
AT3G11440  ,3,MYB65,Gibberellin,MYB transcription factor,"redundant with MYB33, repressed by miR159","Gocal et al., 2001 Plant Phys",
AT3G12810,3,PIE1 (PHOTOPERIOD INDEPENDENT EARLY FLOWERING 1),,"Similar to ATP-dependent, chromatin-remodeling proteins of the ISWI and SWI2/SNF2 family",mutant early flowering,"Noh and Amasino, 2003 Plant Cell",
AT3G15270,3,SPL5 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 5),Vegetative to reproductive transition,SBP transcription factor,Overexpression promotes flowering,"Wu and Poethig, 2006 Development",
AT3G15354,3,SPA3 (SPA1-RELATED 3),Photoperiod,WD-40 and protein kinase-like domain,spa1 spa3 spa4 triple mutants flower early in LDs and SDs,"Laubinger et al., 2006 Development; Zhu et al., 2008 Plant Cell",
AT3G18990,3,VRN1 (VERNALIZATION 1),Vernalization,,,"Levy et al., 2002 Science","Mutants are reduced in their response to vernalization, for example in an fca-1 background. No effect on flowering in conditions other than vernalization."
AT3G22380  ,3,TIC (TIME FOR COFFEE),circadian clock,,,"Hall et al., 2003, Plant Cell; Ding at al., 2007, Plant Cell",
AT3G24440,3,VIL1 (VERNALIZATION INSENSTIVE 3 LIKE 1) also called VRN5 (VERNALIZATION  5),,,,"Greb et al., 2007 Current Biol; Sung et al., 2006 Genes Dev",Mutants are insensitive to vernalization and late flowering in short days.
AT3G26640,3,LWD2 (LIGHT-REGULATED WD 2),"photoperiod, circadian clock",WD40 repeat,lwd1 lwd2 mutant early flowering in LD and SD,"Wu et al., 2008, Plant Phys",
AT3G33520,3,ESD1 (EARLY IN SHORT DAYS 1) also called ACTIN RELATED PROTEIN 6 (ARP6),,,mutant early flowering,"Deal et al., 2005 Plant Cell; Martin-Trillo et al., 2006 Development",Mutants show reduced expression of FLC
AT3G46640  ,3,LUX/PCL1 (LUX ARRHYTHMO/PHYTOCLOCK 1),"photoperiod, circadian clock",Myb transcription factor,mutant early flowering in long and short days,"Hazen et al., 2005, PNAS; Onai and Ishuira, 2005, Genes Cells",
AT3G47500,3,CDF3 (CYCLING DOF FACTOR 3),Photoperiod,DOF transcription factor,cdf1 cdf2 cdf3 cdf5 quadruple mutants flower early in LDs and SDs,"Fornara et al., 2009 Developmental Cell; Imaizumi et al., 2005 Science",
AT3G48430,3,REF6 (RELATIVE OF EARLY FLOWERING 6), -,Jumonji protein that is involved in histone demethylation ,,"Noh et al., 2004 Plant Cell",Positive regulator of flowering in an FLC-dependent pathway.
AT3G48590,3,NFYC1/HAP5A (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-1/HEME ACTIVATED PROTEIN 5A),Photoperiod,CCAAT-box binding transcription factor,no mutant described but the protein interacts with CO in yeast,"Wenkel et al., 2006 Plant Cell",
AT3G49600,3,UBP26 (UBIQUITIN-SPECIFIC PROTEASE 26),,Protease that removes ubiquitin from histone 2B,Mutant early flowering due to reduced FLC expression,"Schmitz et al., 2009 Plant Physiolgy",
AT3G54990,3,SMZ (SCHLAFMUTZE),Photoperiod,AP2-domain transcription factor,smz snz toe1 toe2 quadruple mutants are early flowering in LDs,"Mathieu et al., 2009 PLoS Biology",
AT3G57390,3,AGL18 (AGAMOUS-LIKE 18),Floral repressor,MADS-box transcription factor,agl15 agl18 svp flc quadruple mutants are early flowering in LDs and SDs,"Adamczyk et al., 2007 Plant Journal",
AT3G57920,3,SPL15 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 15),Vegetative and reproductive phase change,SBP transcription factor,spl9 spl15 double mutants reduce plastochron length and delay flowering,"Schwarz et al., 2008 Plant Molecular Biology",
AT3G60250  ,3,CKB3 (CASEIN KINASE II BETA CHAIN 3),"photoperiod, circadian clock",subunit of CK2 kinase,CKB3 overexpressor early flowering in LD and SD,"Sugano et al., 1998, PNAS; Sugano et al., 1999, PNAS",Interacts with and phosphorylates CCA1
AT3G63010,3,GID1B (GA INSENSITIVE DWARF1B),Gibberellin,soluble nuclear localized GA receptor,triple gid mutants are late flowering in LD,"Griffiths et al., 2006 Plant Cell",
AT4G00650,4,FRI (FRIGIDA),Vernalization,,mutant early flowering in winter annual accessions,"Johanson et al., 2000 Science",Required for FLC expression in winter annual accessions; many different loss of function alleles have been described in early flowering summer annuals
AT4G02560,4,LD (LUMINIDEPENDENS),Autonomous,Homeodomain protein,mutant late flowering,"Lee et al., 1994 Plant Cell",mutants show increased FLC expression
AT4G02780  ,4,CPS1/GA1 (ENT-COPALYL DIPHOSPHATE SYNTHETASE 1),Gibberellin,Ent-copayl diphosphate synthetase 1,mutant late flowering in long days,"Koornneef M and Van der Veen JH, 1980 Theor App Genet; Wilson et al., 1992 Plant Phys",
AT4G08920  ,4,CRY1 (CRYPTOCHROME 1),"photoperiod, circadian clock",blue light photoreceptor,mutant early flowering in SD,"Bagnall et al., 1996, Planta",
AT4G11110,4,SPA2 (SPA1-RELATED 2),Photoperiod,WD-40 and protein kinase-like domain,,"Laubinger et al., 2006 Development; Zhu et al., 2008 Plant Cell",
AT4G14540,4,"NFYB3/HAP3C (NUCLEAR FACTOR Y, SUBUNIT B3/HEME ACTIVATED PROTEIN 3C)",Photoperiod,CCAAT-box binding transcription factor,mutant late flowering in LDs but not in SDs; nf-yb2 nf-yb3 double mutant is later than single nf-yb3; overexpression causes early flowering in LDs,"Kumimoto et al., 2008 Planta",
AT4G15880,4,ESD4 (EARLY IN SHORT DAYS 4),,SUMO specific protease,mutant extreme early flowering ,"Murtas et al., 2003 Plant Cell",
AT4G16250 ,4,PHYD (PHYTOCHROME D),"photoperiod, circadian clock",red/far red light photoreceptor,phyB phyD double mutant earlier flowering than phyB single,"Aukerman et al., 1997, Plant Cell; Devlin et al., 1998, Plant Cell",redundant with PhyB
AT4G16280,4,FCA (FLOWERING TIME CONTROL PROTEIN ALPHA),Autonomous,RNA binding protein,mutant late flowering,"Macknight et al., 1997 Cell",mutants show increased FLC expression
AT4G16845,4,VRN2 (VERNALIZATION 2),,POLYCOMB REPRESSIVE COMPLEX 2 (PRC2) component; homologue of Su(z)12,,"Gendall et al., 2001 Cell",
AT4G18130 ,4,PHYE (PHYTOCHROME E),"photoperiod, circadian clock",red/far red light photoreceptor,phyB phyE double mutant earlier flowering than phyB single,"Aukerman et al., 1997, Plant Cell; Devlin et al., 1998, Plant Cell",redundant with PhyB
